id,timestamp,text,searchQuery,clean_content
1838922952844194301,2024-09-25 12:46:00+00:00,"Speed meets One piece character ""Nami"" in Indonesia 💀",speed in Indonesia ,Speed meets One piece character Nami in Indonesia 
1838932373720997925,2024-09-25 13:23:00+00:00,how come in indonesia yb pulled everything from jakarta to yogyakarta to bali ? all content creators are not a cargo for speed he acted as a tourguide right? why did cong agreed to that and not recommended other cebu local content creators? felt like a congtv show and not irl,speed in Indonesia ,how come in indonesia yb pulled everything from jakarta to yogyakarta to bali  all content creators are not a cargo for speed he acted as a tourguide right why did cong agreed to that and not recommended other cebu local content creators felt like a congtv show and not irl
1838940565754577245,2024-09-25 13:56:00+00:00,"to all of u who said:
""Indonesia only numbers""
""speed in Indonesia for gain subs""
""Indonesia have no content only zombies""
""I bet Indonesia unsubs"" (when hit 32M)

which jersey on his cover post?
which first flag on his caption?

PROUD INDONESIA🇮🇩",speed in Indonesia ,"to all of u who said
Indonesia only numbers
speed in Indonesia for gain subs
Indonesia have no content only zombies
I bet Indonesia unsubs when hit 32M

which jersey on his cover post
which first flag on his caption

PROUD INDONESIA"
1838516835026927661,2024-09-24 09:52:00+00:00,"Speed still uses the word “Santai” “Santai”, bro thought he is in Indonesia 🇮🇩😭😭🔥
#Indonesia #IShowSpeed",speed in Indonesia ,"Speed still uses the word Santai Santai bro thought he is in Indonesia 
Indonesia IShowSpeed"
1838507099380470017,2024-09-24 09:13:00+00:00,"No way Speed is still saying “Santai” to the crowds in Singapore, bro has been in Indonesia for too long 💀🇮🇩",speed in Indonesia ,No way Speed is still saying Santai to the crowds in Singapore bro has been in Indonesia for too long 
1838903015354593310,2024-09-25 11:26:00+00:00,"That words might only work in Indonesia, Malaysia, Singapore and Bruinei speed...",speed in Indonesia ,That words might only work in Indonesia Malaysia Singapore and Bruinei speed
1838892430461980936,2024-09-25 10:44:00+00:00,Speed still in Indonesia,speed in Indonesia ,Speed still in Indonesia
1838888512407458117,2024-09-25 10:29:00+00:00,"Body speed is in another country, but the soul is left behind in Indonesia.🤣🤣",speed in Indonesia ,Body speed is in another country but the soul is left behind in Indonesia
1838569604899311848,2024-09-24 13:22:00+00:00,Speed think all country in ASEAN speak Indonesia wkwkwk,speed in Indonesia ,Speed think all country in ASEAN speak Indonesia wkwkwk
1838859609421025403,2024-09-25 08:34:00+00:00,speed coming to singapore was a bad move all we’re getting is roasts from both malaysia and indonesia (when they were both fighting against each other just a week ago 😭) unified in hate against sg forreal (i get it tho),speed in Indonesia ,speed coming to singapore was a bad move all were getting is roasts from both malaysia and indonesia when they were both fighting against each other just a week ago  unified in hate against sg forreal i get it tho
